1,Action,"Films axés sur l'action et les scènes dynamiques."
2,Comédie,"Films humoristiques conçus pour divertir et faire rire le public."
3,Drame,"Films axés sur le développement des personnages et les situations émotionnelles."
4,Science-fiction,"Films basés sur des concepts scientifiques et des avancées technologiques."
5,Horreur,"Films destinés à susciter la peur et l'anxiété chez le spectateur."
6,Romance,"Films centrés sur les relations amoureuses et les histoires romantiques."
7,Documentaire,"Films basés sur des faits réels et destinés à informer et éduquer."
8,Fantaisie,"Films présentant des mondes imaginaires et des éléments fantastiques."
9,Animation,"Films créés à l'aide d'animations, souvent destinés à un public plus jeune."
10,Thriller,"Films caractérisés par une tension intense et des rebondissements captivants."
